Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Sep-Jun,Total Jan-Dec
1889,. ,. ,. ,. ,. ,. ,. ,. ,. ,18.5,. ,. ,. ,. 
1893,. ,. ,. ,. ,. ,. ,. ,. ,. ,9,. ,. ,. ,. 
1894,. ,. ,14,. ,. ,. ,. ,. ,. ,. ,. ,12.3,. ,. 
1895,5.3,7.6,17.3,0,0,0,. ,. ,. ,. ,. ,. ,. ,. 
1896,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. ,. 
1897,5.8,10.2,13.7,11.3,0,0,0,0,0,8.7,5.5,9,. ,64.2
1898,7,4.2,7.5,8.2,13,0,0,0,1,5,23.5,18,63.1,87.4
1899,13,15.2,31,8,0,0,0,0,0,2,0,12.8,114.7,82
1900,4.5,14.8,6.8,20,0,0,0,0,0,0,3.1,9.2,60.9,58.4
1901,7.5,6.2,18.5,26,0,0,0,0,0,4,0,15,70.5,77.2
1902,7.2,6.5,9.5,3,0,0,0,0,0,0.5,8,17,45.2,51.7
1903,2,19.5,13.5,18,0,0,0,0,1,10.5,2.2,2.5,78.5,69.2
1904,2,3,16,1,0,0,0,0,0,5,1,8.5,38.2,36.5
1905,13.5,8.5,7.5,21.5,3,0,0,0,0,13,0,0,68.5,67
1906,3.2,2.5,24,8,0,0,0,0,0,19,18,0,50.7,74.7
1907,6.2,7,2.5,28.5,15,0,0,0,1,0,6.2,2.1,96.2,68.5
1908,10,1.5,3.8,5.5,8,0,0,0,8,15.2,31,15,38.1,98
1909,0.5,19.2,26.5,27.5,0,0,0,0,0,1,16.5,31,142.9,122.2
1910,4,20.8,0,0.2,7,0,0,0,0,0,0.5,4.5,80.5,37
1911,11.5,27.1,0,12,0,0,0,0,0,8,10,5.9,55.6,74.5
1912,2.4,22.1,12.9,0,7,0,0,0,0,3,2,2.4,68.3,51.8
1913,6.2,12.8,21.1,15.4,0,0,0,0,0,9,0,52.5,62.9,117
1914,0,1.7,26.9,14.8,0,0,0,0,0,3,0.9,5.3,104.9,52.6
1915,8.6,18.5,13.4,0,14.5,0,0,0,0,0,3.9,19.4,64.2,78.3
1916,11.2,0.4,12.8,14,5,0,0,0,0,10.1,17.4,13.6,66.7,84.5
1917,5.9,6.3,22.2,13,14.8,0,0,0,0,7.5,0,5.3,103.3,75
1918,6.8,14.5,0,0,0,0,0,0,0,2,14,15.5,34.1,52.8
